
SN: 20240001
Software version: 3.0

millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999, 1721374421, 2024/7/19 7:33:41, 75.66, 19.86, 618.00, 1757.06, 3779.30, 0.00, 0.00, 0.00, 1, 1
5999, 1721374423, 2024/7/19 7:33:43, 75.54, 19.86, 379.50, 1757.44, 3784.18, 0.00, 0.00, 0.00, 2, 1
7999, 1721374425, 2024/7/19 7:33:45, 74.82, 19.89, 312.19, 1757.63, 3784.18, 0.00, 0.00, 0.00, 3, 1
9999, 1721374427, 2024/7/19 7:33:47, 74.46, 19.90, 273.75, 1758.00, 3779.30, 0.00, 0.00, 0.00, 4, 1
11999, 1721374429, 2024/7/19 7:33:49, 73.61, 19.89, 249.56, 1758.19, 3779.30, 0.00, 0.00, 0.00, 5, 1
13999, 1721374431, 2024/7/19 7:33:51, 72.73, 19.90, 234.00, 1758.19, 3784.18, 0.00, 0.00, 0.00, 6, 1
15998, 1721374433, 2024/7/19 7:33:53, 71.87, 19.91, 224.06, 1758.38, 3784.18, 0.00, 0.00, 0.00, 7, 1
17999, 1721374435, 2024/7/19 7:33:55, 71.08, 19.92, 217.50, 1758.75, 3784.18, 0.00, 0.00, 0.00, 8, 1
19999, 1721374437, 2024/7/19 7:33:57, 70.59, 19.92, 213.19, 1758.56, 3789.06, 0.00, 0.00, 0.00, 9, 1
21999, 1721374439, 2024/7/19 7:33:59, 70.23, 19.93, 210.56, 1758.75, 3789.06, 0.00, 0.00, 0.00, 10, 1
23999, 1721374441, 2024/7/19 7:34:1, 69.99, 19.92, 208.88, 1758.75, 3784.18, 0.00, 0.00, 0.00, 11, 1
25999, 1721374443, 2024/7/19 7:34:3, 69.86, 19.91, 208.31, 1759.13, 3789.06, 0.00, 0.00, 0.00, 12, 1
28000, 1721374445, 2024/7/19 7:34:5, 69.74, 19.95, 208.13, 1759.31, 3784.18, 0.00, 0.00, 0.00, 13, 1
29999, 1721374447, 2024/7/19 7:34:7, 69.64, 19.93, 208.31, 1759.50, 3779.30, 0.00, 0.00, 0.00, 14, 1
32000, 1721374449, 2024/7/19 7:34:9, 69.57, 19.92, 208.69, 1759.69, 3784.18, 0.00, 0.00, 0.00, 15, 1
33998, 1721374451, 2024/7/19 7:34:11, 69.55, 19.95, 209.44, 1759.88, 3789.06, 0.00, 0.00, 0.00, 16, 1
