SN: 20240001,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,
,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998,1721635191, 2024/7/22 7:59:51,76.61,22.54,608.63,1798.13,3803.71,0,0,0,1,1
5999,1721635193, 2024/7/22 7:59:53,76.64,22.55,379.13,1798.31,3803.71,0,0,0,2,1
7999,1721635195, 2024/7/22 7:59:55,76.6,22.54,312,1798.5,3803.71,0,0,0,3,1
9999,1721635197, 2024/7/22 7:59:57,76.58,22.52,271.88,1798.69,3803.71,0,0,0,4,1
11999,1721635199, 2024/7/22 7:59:59,76.52,22.56,246.94,1798.88,3803.71,0,0,0,5,1
13999,1721635201, 2024/7/22 8:0:1,76.43,22.54,231.56,1799.06,3808.59,0,0,0,6,1
16000,1721635203, 2024/7/22 8:0:3,76.34,22.56,221.63,1799.25,3803.71,0,0,0,7,1
17999,1721635205, 2024/7/22 8:0:5,76.16,22.56,215.63,1799.44,3798.83,0,0,0,8,1
19998,1721635207, 2024/7/22 8:0:7,75.82,22.55,211.69,1799.63,3803.71,0,0,0,9,1
22000,1721635209, 2024/7/22 8:0:9,75.64,22.57,209.63,1799.81,3798.83,0,0,0,10,1
23999,1721635211, 2024/7/22 8:0:11,75.56,22.59,208.31,1800,3808.59,0,0,0,11,1
25998,1721635213, 2024/7/22 8:0:13,75.5,22.61,207.94,1800.38,3808.59,0,0,0,12,1
27999,1721635215, 2024/7/22 8:0:15,75.39,22.59,207.94,1800.56,3803.71,0,0,0,13,1
29999,1721635217, 2024/7/22 8:0:17,75.28,22.6,208.5,1800.75,3803.71,0,0,0,14,1
32000,1721635219, 2024/7/22 8:0:19,75.14,22.59,209.25,1800.94,3808.59,0,0,0,15,1
33998,1721635221, 2024/7/22 8:0:21,75.01,22.6,210.19,1801.31,3798.83,0,0,0,16,1
35999,1721635223, 2024/7/22 8:0:23,74.92,22.63,211.31,1801.5,3808.59,0,0,0,17,1
37999,1721635225, 2024/7/22 8:0:25,74.72,22.6,212.63,1802.06,3803.71,0,0,0,18,1
39999,1721635227, 2024/7/22 8:0:27,74.66,22.62,213.94,1802.25,3808.59,0,0,0,19,1
41999,1721635229, 2024/7/22 8:0:29,74.49,22.64,215.44,1802.81,3798.83,0,0,0,20,1
43999,1721635231, 2024/7/22 8:0:31,74.31,22.64,216.94,1803,3808.59,0,0,0,21,1
46000,1721635233, 2024/7/22 8:0:33,74.12,22.63,218.44,1803.38,3808.59,0,0,0,22,1
48000,1721635235, 2024/7/22 8:0:35,74.01,22.67,219.94,1803.75,3808.59,0,0,0,23,1
49999,1721635237, 2024/7/22 8:0:37,73.93,22.66,221.44,1804.13,3808.59,0,0,0,24,1
51999,1721635239, 2024/7/22 8:0:39,73.89,22.66,223.13,1804.69,3808.59,0,0,0,25,1
53999,1721635241, 2024/7/22 8:0:41,73.9,22.67,224.63,1805.06,3803.71,0,0,0,26,1
55999,1721635243, 2024/7/22 8:0:43,73.9,22.7,226.31,1805.63,3808.59,0,0,0,27,1
57999,1721635245, 2024/7/22 8:0:45,73.89,22.67,227.81,1806.19,3803.71,0,0,0,28,1
59999,1721635247, 2024/7/22 8:0:47,73.93,22.7,229.31,1806.56,3803.71,0,0,0,29,1
61999,1721635249, 2024/7/22 8:0:49,73.89,22.71,230.81,1806.94,3808.59,0,0,0,30,1
63998,1721635251, 2024/7/22 8:0:51,73.86,22.71,232.5,1807.69,3808.59,0,0,0,31,1
65999,1721635253, 2024/7/22 8:0:53,73.8,22.71,234,1808.25,3808.59,0,0,0,32,1
67999,1721635255, 2024/7/22 8:0:55,73.74,22.73,235.5,1808.63,3808.59,0,0,0,33,1
70000,1721635257, 2024/7/22 8:0:57,73.73,22.75,237,1809.38,3803.71,0,0,0,34,1
71999,1721635259, 2024/7/22 8:0:59,73.7,22.76,238.69,1809.94,3808.59,0,0,0,35,1
74000,1721635261, 2024/7/22 8:1:1,73.7,22.76,239.81,1810.31,3803.71,0,0,0,36,1
75999,1721635263, 2024/7/22 8:1:3,73.72,22.79,241.5,1810.88,3798.83,0,0,0,37,1
77999,1721635265, 2024/7/22 8:1:5,73.7,22.8,242.81,1811.63,3813.48,0,0,0,38,1
80000,1721635267, 2024/7/22 8:1:7,73.68,22.8,244.13,1812.19,3808.59,0,0,0,39,1
81998,1721635269, 2024/7/22 8:1:9,73.73,22.8,245.63,1812.75,3798.83,0,0,0,40,1
83999,1721635271, 2024/7/22 8:1:11,73.73,22.82,246.94,1813.5,3808.59,0,0,0,41,1
85999,1721635273, 2024/7/22 8:1:13,73.75,22.82,248.25,1814.25,3803.71,0,0,0,42,1
87999,1721635275, 2024/7/22 8:1:15,73.76,22.84,249.56,1814.81,3803.71,0,0,0,43,1
89999,1721635277, 2024/7/22 8:1:17,73.79,22.85,250.88,1815.38,3803.71,0,0,0,44,1
92000,1721635279, 2024/7/22 8:1:19,73.8,22.87,252.19,1816.13,3808.59,0,0,0,45,1
93999,1721635281, 2024/7/22 8:1:21,73.8,22.87,253.5,1816.69,3808.59,0,0,0,46,1
96000,1721635283, 2024/7/22 8:1:23,73.74,22.88,254.63,1817.63,3808.59,0,0,0,47,1
97999,1721635285, 2024/7/22 8:1:25,73.72,22.9,255.75,1818.19,3803.71,0,0,0,48,1
100000,1721635287, 2024/7/22 8:1:27,73.65,22.91,257.06,1818.75,3808.59,0,0,0,49,1
