SN: 20240004,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,
,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999,1725356858, 2024/9/3 9:47:38,67.13,22.1,281.06,1860.75,3696.29,0,0,0,1,1
5999,1725356860, 2024/9/3 9:47:40,66.16,22.03,250.5,1860.94,3730.47,0,0,0,2,1
7999,1725356862, 2024/9/3 9:47:42,65.42,22.33,219.38,1862.44,3730.47,0,0,0,3,1
10000,1725356864, 2024/9/3 9:47:44,64.24,22.51,199.5,1864.69,3701.17,0,0,0,4,1
11999,1725356866, 2024/9/3 9:47:46,63.1,22.62,188.25,1866,3710.94,0,0,0,5,1
13999,1725356868, 2024/9/3 9:47:48,62.27,22.77,182.25,1867.13,3715.82,0,0,0,6,1
15998,1725356870, 2024/9/3 9:47:50,61.42,22.89,179.25,1867.69,3730.47,0,0,0,7,1
17999,1725356872, 2024/9/3 9:47:52,60.71,23.01,177.94,1867.13,3730.47,0,0,0,8,1
19999,1725356874, 2024/9/3 9:47:54,60.23,23.02,177.75,1866.94,3715.82,0,0,0,9,1
21999,1725356876, 2024/9/3 9:47:56,59.86,22.81,178.13,1867.13,3686.52,0,0,0,10,1
23999,1725356878, 2024/9/3 9:47:58,59.72,22.79,178.88,1867.13,3676.76,0,0,0,11,1
25999,1725356880, 2024/9/3 9:48:0,59.8,23.18,180,1868.25,3671.87,0,0,0,12,1
27999,1725356882, 2024/9/3 9:48:2,59.56,23.05,181.13,1868.81,3681.64,0,0,0,13,1
29999,1725356884, 2024/9/3 9:48:4,59.64,22.93,182.63,1868.81,3730.47,0,0,0,14,1
31998,1725356886, 2024/9/3 9:48:6,59.8,23.2,183.94,1870.88,3730.47,0,0,0,15,1
33998,1725356888, 2024/9/3 9:48:8,59.67,23.43,185.44,1872.56,3715.82,0,0,0,16,1
35999,1725356890, 2024/9/3 9:48:10,59.38,23.64,186.94,1874.44,3730.47,0,0,0,17,1
37998,1725356892, 2024/9/3 9:48:12,59.06,23.76,188.63,1875.94,3740.23,0,0,0,18,1
40000,1725356894, 2024/9/3 9:48:14,58.7,23.88,190.31,1877.63,3715.82,0,0,0,19,1
41999,1725356896, 2024/9/3 9:48:16,58.38,23.99,192.19,1878.94,3710.94,0,0,0,20,1
43999,1725356898, 2024/9/3 9:48:18,57.6,24.1,193.88,1880.44,3701.17,0,0,0,21,1
45999,1725356900, 2024/9/3 9:48:20,57.23,24.25,195.75,1881.94,3725.59,0,0,0,22,1
48000,1725356902, 2024/9/3 9:48:22,57.12,24.33,197.63,1883.44,3681.64,0,0,0,23,1
49999,1725356904, 2024/9/3 9:48:24,57.12,24.45,199.5,1884.94,3676.76,0,0,0,24,1
51999,1725356906, 2024/9/3 9:48:26,57.26,24.57,201.38,1886.63,3671.87,0,0,0,25,1
53999,1725356908, 2024/9/3 9:48:28,57.27,24.7,203.25,1887.94,3681.64,0,0,0,26,1
56000,1725356910, 2024/9/3 9:48:30,57.29,24.81,205.13,1889.63,3701.17,0,0,0,27,1
57999,1725356912, 2024/9/3 9:48:32,57.24,24.94,207,1891.31,3730.47,0,0,0,28,1
59999,1725356914, 2024/9/3 9:48:34,57.05,25.05,209.06,1893,3735.35,0,0,0,29,1
