SN: 20240004,,,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle,,
3999,1721635159, 2024/7/22 7:59:19,76.6,22.46,609.94,1872.75,3769.53,0,0,0,1,1,,
5999,1721635161, 2024/7/22 7:59:21,76.5,22.48,386.44,1872.94,3769.53,0,0,0,2,1,,
7999,1721635163, 2024/7/22 7:59:23,76.36,22.47,317.44,1872.94,3774.41,0,0,0,3,1,,
10000,1721635165, 2024/7/22 7:59:25,76.26,22.47,276.38,1872.94,3774.41,0,0,0,4,1,,
11999,1721635167, 2024/7/22 7:59:27,76.14,22.46,251.44,1873.13,3779.3,0,0,0,5,1,,
13999,1721635169, 2024/7/22 7:59:29,76.08,22.48,235.88,1873.13,3774.41,0,0,0,6,1,,
15998,1721635171, 2024/7/22 7:59:31,76.08,22.49,226.13,1873.5,3774.41,0,0,0,7,1,,
17999,1721635173, 2024/7/22 7:59:33,76.04,22.5,219.94,1873.69,3774.41,0,0,0,8,1,,
19999,1721635175, 2024/7/22 7:59:35,76.02,22.52,216.19,1873.69,3774.41,0,0,0,9,1,,
21999,1721635177, 2024/7/22 7:59:37,76,22.5,213.94,1873.88,3774.41,0,0,0,10,1,,
23999,1721635179, 2024/7/22 7:59:39,75.91,22.52,212.63,1874.25,3774.41,0,0,0,11,1,,
26000,1721635181, 2024/7/22 7:59:41,75.85,22.53,212.25,1874.25,3774.41,0,0,0,12,1,,
27999,1721635183, 2024/7/22 7:59:43,75.78,22.55,212.25,1874.44,3774.41,0,0,0,13,1,,
29999,1721635185, 2024/7/22 7:59:45,75.76,22.55,212.63,1874.63,3774.41,0,0,0,14,1,,
32000,1721635187, 2024/7/22 7:59:47,75.64,22.56,213.38,1875,3774.41,0,0,0,15,1,,
33998,1721635189, 2024/7/22 7:59:49,75.45,22.55,214.31,1875.19,3774.41,0,0,0,16,1,,
35999,1721635191, 2024/7/22 7:59:51,75.25,22.55,215.44,1875.56,3774.41,0,0,0,17,1,,
37998,1721635193, 2024/7/22 7:59:53,75.02,22.59,216.75,1875.94,3774.41,0,0,0,18,1,,
39999,1721635195, 2024/7/22 7:59:55,74.8,22.59,218.06,1876.13,3779.3,0,0,0,19,1,,
41999,1721635197, 2024/7/22 7:59:57,74.63,22.6,219.38,1876.5,3769.53,0,0,0,20,1,,
43999,1721635199, 2024/7/22 7:59:59,74.46,22.6,220.88,1876.88,3774.41,0,0,0,21,1,,
45999,1721635201, 2024/7/22 8:0:1,74.38,22.62,222.38,1877.25,3779.3,0,0,0,22,1,,
48000,1721635203, 2024/7/22 8:0:3,74.24,22.63,223.88,1877.81,3774.41,0,0,0,23,1,,
49999,1721635205, 2024/7/22 8:0:5,74.1,22.63,225.38,1878.19,3779.3,0,0,0,24,1,,
51998,1721635207, 2024/7/22 8:0:7,73.99,22.64,227.06,1878.56,3774.41,0,0,0,25,1,,
53998,1721635209, 2024/7/22 8:0:9,73.9,22.67,228.56,1879.13,3774.41,0,0,0,26,1,,
55999,1721635211, 2024/7/22 8:0:11,73.73,22.66,230.06,1879.5,3779.3,0,0,0,27,1,,
57999,1721635213, 2024/7/22 8:0:13,73.62,22.66,231.75,1880.25,3774.41,0,0,0,28,1,,
59999,1721635215, 2024/7/22 8:0:15,73.58,22.66,233.25,1880.63,3779.3,0,0,0,29,1,,
61999,1721635217, 2024/7/22 8:0:17,73.52,22.7,234.75,1881.19,3774.41,0,0,0,30,1,,
64000,1721635219, 2024/7/22 8:0:19,73.47,22.71,236.44,1881.56,3779.3,0,0,0,31,1,,
65998,1721635221, 2024/7/22 8:0:21,73.39,22.72,237.94,1882.13,3774.41,0,0,0,32,1,,
67999,1721635223, 2024/7/22 8:0:23,73.36,22.71,239.44,1882.69,3774.41,0,0,0,33,1,,
69999,1721635225, 2024/7/22 8:0:25,73.36,22.75,240.94,1883.25,3779.3,0,0,0,34,1,,
71999,1721635227, 2024/7/22 8:0:27,73.32,22.74,242.44,1884,3774.41,0,0,0,35,1,,
74000,1721635229, 2024/7/22 8:0:29,73.3,22.76,244.13,1884.56,3779.3,0,0,0,36,1,,
75999,1721635231, 2024/7/22 8:0:31,73.23,22.78,245.44,1885.13,3774.41,0,0,0,37,1,,
77999,1721635233, 2024/7/22 8:0:33,73.16,22.78,246.94,1885.69,3774.41,0,0,0,38,1,,
80000,1721635235, 2024/7/22 8:0:35,73.12,22.78,248.25,1886.25,3774.41,0,0,0,39,1,,
81999,1721635237, 2024/7/22 8:0:37,73.1,22.82,249.75,1887,3774.41,0,0,0,40,1,,
83999,1721635239, 2024/7/22 8:0:39,73.12,22.82,251.06,1887.75,3774.41,0,0,0,41,1,,
85999,1721635241, 2024/7/22 8:0:41,73.09,22.82,252.38,1888.31,3779.3,0,0,0,42,1,,
88000,1721635243, 2024/7/22 8:0:43,73.08,22.85,253.69,1889.06,3779.3,0,0,0,43,1,,
89999,1721635245, 2024/7/22 8:0:45,73.07,22.83,255,1889.63,3779.3,0,0,0,44,1,,
91999,1721635247, 2024/7/22 8:0:47,73.12,22.86,256.31,1890.38,3774.41,0,0,0,45,1,,
93999,1721635249, 2024/7/22 8:0:49,73.17,22.86,257.63,1891.31,3774.41,0,0,0,46,1,,
96000,1721635251, 2024/7/22 8:0:51,73.17,22.89,258.94,1891.88,3779.3,0,0,0,47,1,,
97999,1721635253, 2024/7/22 8:0:53,73.07,22.9,260.06,1892.63,3774.41,0,0,0,48,1,,
100000,1721635255, 2024/7/22 8:0:55,73.07,22.92,261.19,1893.19,3779.3,0,0,0,49,1,,
101999,1721635257, 2024/7/22 8:0:57,73.06,22.95,262.31,1894.13,3774.41,0,0,0,50,1,,
103999,1721635259, 2024/7/22 8:0:59,73.07,22.93,263.63,1894.88,3774.41,0,0,0,51,1,,
106000,1721635261, 2024/7/22 8:1:1,73.04,22.96,264.75,1895.44,3784.18,0,0,0,52,1,,
107999,1721635263, 2024/7/22 8:1:3,72.99,22.98,265.88,1896.19,3779.3,0,0,0,53,1,,
110000,1721635265, 2024/7/22 8:1:5,72.93,23,267,1896.94,3779.3,0,0,0,54,1,,
112000,1721635267, 2024/7/22 8:1:7,72.81,23.01,267.94,1897.69,3779.3,0,0,0,55,1,,
113999,1721635269, 2024/7/22 8:1:9,72.78,23.02,269.06,1898.44,3779.3,0,0,0,56,1,,
115999,1721635271, 2024/7/22 8:1:11,72.73,23.06,270.19,1899.19,3774.41,0,0,0,57,1,,
117999,1721635273, 2024/7/22 8:1:13,72.69,23.05,271.31,1899.56,3774.41,0,0,0,58,1,,
119999,1721635275, 2024/7/22 8:1:15,72.63,23.07,272.25,1900.5,3779.3,0,0,0,59,1,,
121999,1721635277, 2024/7/22 8:1:17,72.59,23.09,273.19,1901.06,3779.3,0,0,0,60,1,,
123999,1721635279, 2024/7/22 8:1:19,72.58,23.09,274.31,1902,3779.3,0,0,0,61,1,,
125999,1721635281, 2024/7/22 8:1:21,72.6,23.12,275.25,1902.75,3779.3,0,0,0,62,1,,
127998,1721635283, 2024/7/22 8:1:23,72.57,23.14,276.19,1903.69,3779.3,0,0,0,63,1,,
129999,1721635285, 2024/7/22 8:1:25,72.41,23.15,277.13,1904.25,3774.41,0,0,0,64,1,,
131999,1721635287, 2024/7/22 8:1:27,72.28,23.17,277.88,1905.19,3779.3,0,0,0,65,1,,
133999,1721635289, 2024/7/22 8:1:29,72.27,23.18,278.63,1905.94,3779.3,0,0,0,66,1,,
135999,1721635291, 2024/7/22 8:1:31,72.18,23.21,279.56,1906.69,3779.3,0,0,0,67,1,,
137999,1721635293, 2024/7/22 8:1:33,72.09,23.2,280.31,1907.44,3784.18,0,0,0,68,1,,
139999,1721635295, 2024/7/22 8:1:35,72.02,23.25,280.88,1908.19,3784.18,0,0,0,69,1,,
142000,1721635297, 2024/7/22 8:1:37,71.94,23.26,281.63,1908.94,3774.41,0,0,0,70,1,,
143998,1721635299, 2024/7/22 8:1:39,71.86,23.25,282.38,1909.88,3779.3,0,0,0,71,1,,
145998,1721635301, 2024/7/22 8:1:41,71.84,23.29,283.31,1910.63,3779.3,0,0,0,72,1,,
147999,1721635303, 2024/7/22 8:1:43,71.9,23.3,283.88,1911.38,3779.3,0,0,0,73,1,,
149999,1721635305, 2024/7/22 8:1:45,71.9,23.32,284.63,1912.13,3779.3,0,0,0,74,1,,
151999,1721635307, 2024/7/22 8:1:47,71.85,23.33,285.19,1912.88,3779.3,0,0,0,75,1,,
153999,1721635309, 2024/7/22 8:1:49,71.78,23.35,285.94,1913.63,3774.41,0,0,0,76,1,,
155999,1721635311, 2024/7/22 8:1:51,71.73,23.36,286.69,1914.38,3779.3,0,0,0,77,1,,
157999,1721635313, 2024/7/22 8:1:53,71.7,23.39,287.25,1915.13,3784.18,0,0,0,78,1,,
159998,1721635315, 2024/7/22 8:1:55,71.7,23.41,288,1915.69,3774.41,0,0,0,79,1,,
161999,1721635317, 2024/7/22 8:1:57,71.67,23.41,288.75,1916.44,3779.3,0,0,0,80,1,,
163999,1721635319, 2024/7/22 8:1:59,71.66,23.42,289.88,1917.38,3632.81,0,23.17,0,81,1,,
