
SN: 20240005
Software version: 3.0

millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998, 1723536214, 2024/8/13 8:3:34, 63.30, 20.65, 1015.13, 1816.31, 3808.59, 0.00, 0.00, 0.00, 1, 1
5999, 1723536216, 2024/8/13 8:3:36, 63.47, 20.64, 399.94, 1815.94, 3813.48, 0.00, 0.00, 0.00, 2, 1
7999, 1723536218, 2024/8/13 8:3:38, 63.53, 20.67, 310.13, 1816.13, 3828.12, 0.00, 0.00, 0.00, 3, 1
9999, 1723536220, 2024/8/13 8:3:40, 63.95, 20.66, 266.06, 1816.31, 3813.48, 0.00, 0.00, 0.00, 4, 1
11999, 1723536222, 2024/8/13 8:3:42, 64.60, 20.65, 240.56, 1816.50, 3818.36, 0.00, 0.00, 0.00, 5, 1
13999, 1723536224, 2024/8/13 8:3:44, 64.54, 20.66, 224.44, 1816.31, 3833.01, 0.00, 0.00, 0.00, 6, 1
15998, 1723536226, 2024/8/13 8:3:46, 63.97, 20.68, 214.13, 1816.69, 3813.48, 0.00, 0.00, 0.00, 7, 1
17999, 1723536228, 2024/8/13 8:3:48, 63.21, 20.65, 207.38, 1816.50, 3823.24, 0.00, 0.00, 0.00, 8, 1
19998, 1723536230, 2024/8/13 8:3:50, 62.23, 20.66, 203.06, 1816.69, 3823.24, 0.00, 0.00, 0.00, 9, 1
21999, 1723536232, 2024/8/13 8:3:52, 61.58, 20.67, 200.44, 1816.88, 3823.24, 0.00, 0.00, 0.00, 10, 1
23999, 1723536234, 2024/8/13 8:3:54, 61.14, 20.68, 198.75, 1817.06, 3813.48, 0.00, 0.00, 0.00, 11, 1
25999, 1723536236, 2024/8/13 8:3:56, 60.84, 20.70, 197.81, 1817.25, 3823.24, 0.00, 0.00, 0.00, 12, 1
28000, 1723536238, 2024/8/13 8:3:58, 60.62, 20.71, 197.63, 1817.44, 3828.12, 0.00, 0.00, 0.00, 13, 1
29999, 1723536240, 2024/8/13 8:4:0, 60.48, 20.71, 197.63, 1817.81, 3828.12, 0.00, 0.00, 0.00, 14, 1
31998, 1723536242, 2024/8/13 8:4:2, 60.32, 20.73, 198.00, 1817.81, 3823.24, 0.00, 0.00, 0.00, 15, 1
33998, 1723536244, 2024/8/13 8:4:4, 60.39, 20.73, 198.75, 1818.19, 3813.48, 0.00, 0.00, 0.00, 16, 1
35999, 1723536247, 2024/8/13 8:4:7, 60.36, 20.72, 199.50, 1818.38, 3828.12, 0.00, 0.00, 0.00, 17, 1
37999, 1723536249, 2024/8/13 8:4:9, 60.18, 20.75, 200.44, 1818.75, 3813.48, 0.00, 0.00, 0.00, 18, 1
39999, 1723536251, 2024/8/13 8:4:11, 59.98, 20.75, 201.56, 1818.94, 3828.12, 0.00, 0.00, 0.00, 19, 1
41999, 1723536253, 2024/8/13 8:4:13, 59.80, 20.78, 202.50, 1819.31, 3828.12, 0.00, 0.00, 0.00, 20, 1
43999, 1723536255, 2024/8/13 8:4:15, 59.69, 20.78, 203.81, 1819.69, 3813.48, 0.00, 0.00, 0.00, 21, 1
45999, 1723536257, 2024/8/13 8:4:17, 59.97, 20.82, 205.13, 1820.06, 3813.48, 0.00, 0.00, 0.00, 22, 1
48000, 1723536259, 2024/8/13 8:4:19, 60.30, 20.82, 206.44, 1820.44, 3833.01, 0.00, 0.00, 0.00, 23, 1
