
SN: 20240001
Software version: 3.0

millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998, 1722499290, 2024/8/1 8:1:30, 55.21, 22.37, 402.38, 1797.75, 3818.36, 0.00, 0.00, 0.00, 1, 1
5999, 1722499292, 2024/8/1 8:1:32, 55.18, 22.38, 311.63, 1798.31, 3818.36, 0.00, 0.00, 0.00, 2, 1
7999, 1722499294, 2024/8/1 8:1:34, 55.13, 22.40, 264.38, 1798.88, 3818.36, 0.00, 0.00, 0.00, 3, 1
9999, 1722499296, 2024/8/1 8:1:36, 55.01, 22.44, 234.75, 1799.44, 3818.36, 0.00, 0.00, 0.00, 4, 1
11999, 1722499298, 2024/8/1 8:1:38, 53.78, 22.44, 217.13, 1800.56, 3818.36, 0.00, 0.00, 0.00, 5, 1
14000, 1722499300, 2024/8/1 8:1:40, 52.30, 22.47, 207.19, 1801.31, 3818.36, 0.00, 0.00, 0.00, 6, 1
15998, 1722499302, 2024/8/1 8:1:42, 51.27, 22.51, 201.38, 1802.06, 3813.48, 0.00, 0.00, 0.00, 7, 1
17999, 1722499304, 2024/8/1 8:1:44, 51.06, 22.54, 198.75, 1803.38, 3818.36, 0.00, 0.00, 0.00, 8, 1
19998, 1722499306, 2024/8/1 8:1:46, 51.68, 22.53, 197.25, 1803.38, 3818.36, 0.00, 0.00, 0.00, 9, 1
22000, 1722499308, 2024/8/1 8:1:48, 52.60, 22.55, 196.50, 1803.75, 3813.48, 0.00, 0.00, 0.00, 10, 1
24000, 1722499310, 2024/8/1 8:1:50, 54.17, 22.58, 197.06, 1803.94, 3818.36, 0.00, 0.00, 0.00, 11, 1
25999, 1722499312, 2024/8/1 8:1:52, 55.84, 22.60, 197.63, 1804.50, 3818.36, 0.00, 0.00, 0.00, 12, 1
27999, 1722499314, 2024/8/1 8:1:54, 57.08, 22.63, 198.56, 1804.69, 3818.36, 0.00, 0.00, 0.00, 13, 1
29999, 1722499316, 2024/8/1 8:1:56, 58.13, 22.65, 199.88, 1805.25, 3818.36, 0.00, 0.00, 0.00, 14, 1
32000, 1722499318, 2024/8/1 8:1:58, 58.91, 22.68, 201.75, 1805.81, 3818.36, 0.00, 0.00, 0.00, 15, 1
33999, 1722499320, 2024/8/1 8:2:0, 58.96, 22.70, 204.19, 1806.38, 3818.36, 0.00, 0.00, 0.00, 16, 1
35999, 1722499322, 2024/8/1 8:2:2, 58.27, 22.74, 206.44, 1806.94, 3818.36, 0.00, 0.00, 0.00, 17, 1
37998, 1722499324, 2024/8/1 8:2:4, 57.37, 22.73, 208.69, 1807.31, 3818.36, 0.00, 0.00, 0.00, 18, 1
39999, 1722499326, 2024/8/1 8:2:6, 56.63, 22.77, 210.94, 1808.44, 3818.36, 0.00, 0.00, 0.00, 19, 1
41999, 1722499328, 2024/8/1 8:2:8, 56.17, 22.79, 213.00, 1808.81, 3818.36, 0.00, 0.00, 0.00, 20, 1
43999, 1722499330, 2024/8/1 8:2:10, 55.80, 22.78, 214.88, 1809.38, 3813.48, 0.00, 0.00, 0.00, 21, 1
45999, 1722499332, 2024/8/1 8:2:12, 55.46, 22.85, 216.38, 1809.94, 3818.36, 0.00, 0.00, 0.00, 22, 1
48000, 1722499334, 2024/8/1 8:2:14, 54.72, 22.86, 218.06, 1810.69, 3813.48, 0.00, 0.00, 0.00, 23, 1
49999, 1722499336, 2024/8/1 8:2:16, 53.90, 22.87, 219.94, 1811.06, 3818.36, 0.00, 0.00, 0.00, 24, 1
51999, 1722499338, 2024/8/1 8:2:18, 53.56, 22.89, 221.81, 1811.81, 3813.48, 0.00, 0.00, 0.00, 25, 1
53999, 1722499340, 2024/8/1 8:2:20, 53.85, 22.91, 223.69, 1812.38, 3818.36, 0.00, 0.00, 0.00, 26, 1
55999, 1722499342, 2024/8/1 8:2:22, 53.82, 22.94, 225.38, 1812.94, 3818.36, 0.00, 0.00, 0.00, 27, 1
58000, 1722499344, 2024/8/1 8:2:24, 54.13, 22.95, 227.44, 1813.88, 3813.48, 0.00, 0.00, 0.00, 28, 1
59999, 1722499346, 2024/8/1 8:2:26, 54.49, 22.99, 229.50, 1814.63, 3818.36, 0.00, 0.00, 0.00, 29, 1
61999, 1722499348, 2024/8/1 8:2:28, 55.26, 23.02, 231.00, 1815.19, 3818.36, 0.00, 0.00, 0.00, 30, 1
63998, 1722499350, 2024/8/1 8:2:30, 55.40, 23.04, 231.94, 1815.94, 3818.36, 0.00, 0.00, 0.00, 31, 1
65999, 1722499352, 2024/8/1 8:2:32, 54.89, 23.09, 232.88, 1816.69, 3818.36, 0.00, 0.00, 0.00, 32, 1
67999, 1722499354, 2024/8/1 8:2:34, 54.46, 23.11, 234.00, 1817.06, 3823.24, 0.00, 0.00, 0.00, 33, 1
69999, 1722499356, 2024/8/1 8:2:36, 52.80, 23.14, 235.13, 1817.81, 3818.36, 0.00, 0.00, 0.00, 34, 1
71999, 1722499358, 2024/8/1 8:2:38, 50.93, 23.19, 236.25, 1818.38, 3813.48, 0.00, 0.00, 0.00, 35, 1
73999, 1722499360, 2024/8/1 8:2:40, 50.14, 23.22, 237.00, 1819.31, 3818.36, 0.00, 0.00, 0.00, 36, 1
75999, 1722499362, 2024/8/1 8:2:42, 49.51, 23.23, 237.94, 1819.88, 3813.48, 0.00, 0.00, 0.00, 37, 1
77999, 1722499364, 2024/8/1 8:2:44, 50.77, 23.24, 238.69, 1820.81, 3818.36, 0.00, 0.00, 0.00, 38, 1
80000, 1722499366, 2024/8/1 8:2:46, 51.19, 23.28, 238.88, 1822.13, 3818.36, 0.00, 0.00, 0.00, 39, 1
81998, 1722499368, 2024/8/1 8:2:48, 50.13, 23.31, 240.19, 1822.69, 3818.36, 0.00, 0.00, 0.00, 40, 1
83999, 1722499370, 2024/8/1 8:2:50, 50.20, 23.34, 241.50, 1823.44, 3818.36, 0.00, 0.00, 0.00, 41, 1
85999, 1722499372, 2024/8/1 8:2:52, 50.40, 23.39, 241.69, 1824.94, 3818.36, 0.00, 0.00, 0.00, 42, 1
87999, 1722499374, 2024/8/1 8:2:54, 51.20, 23.48, 243.38, 1826.06, 3818.36, 0.00, 0.00, 0.00, 43, 1
89999, 1722499376, 2024/8/1 8:2:56, 52.42, 23.50, 244.50, 1827.19, 3813.48, 0.00, 0.00, 0.00, 44, 1
91999, 1722499378, 2024/8/1 8:2:58, 51.50, 23.52, 246.00, 1828.13, 3818.36, 0.00, 0.00, 0.00, 45, 1
93999, 1722499380, 2024/8/1 8:3:0, 50.62, 23.53, 247.13, 1828.69, 3818.36, 0.00, 0.00, 0.00, 46, 1
96000, 1722499382, 2024/8/1 8:3:2, 50.12, 23.58, 247.13, 1830.00, 3818.36, 0.00, 0.00, 0.00, 47, 1
97999, 1722499384, 2024/8/1 8:3:4, 50.08, 23.59, 247.31, 1830.56, 3818.36, 0.00, 0.00, 0.00, 48, 1
99999, 1722499386, 2024/8/1 8:3:6, 50.55, 23.59, 248.44, 1831.31, 3813.48, 0.00, 0.00, 0.00, 49, 1
101999, 1722499388, 2024/8/1 8:3:8, 50.95, 23.60, 250.12, 1831.69, 3818.36, 0.00, 0.00, 0.00, 50, 1
103999, 1722499390, 2024/8/1 8:3:10, 51.51, 23.63, 251.81, 1832.63, 3818.36, 0.00, 0.00, 0.00, 51, 1
106000, 1722499392, 2024/8/1 8:3:12, 52.29, 23.65, 253.50, 1833.19, 3818.36, 0.00, 0.00, 0.00, 52, 1
107999, 1722499394, 2024/8/1 8:3:14, 52.32, 23.67, 253.87, 1834.13, 3818.36, 0.00, 0.00, 0.00, 53, 1
109999, 1722499396, 2024/8/1 8:3:16, 52.12, 23.70, 254.81, 1834.50, 3818.36, 0.00, 0.00, 0.00, 54, 1
111998, 1722499398, 2024/8/1 8:3:18, 52.24, 23.72, 255.38, 1835.25, 3813.48, 0.00, 0.00, 0.00, 55, 1
113999, 1722499400, 2024/8/1 8:3:20, 52.76, 23.74, 256.31, 1835.81, 3818.36, 0.00, 0.00, 0.00, 56, 1
115999, 1722499402, 2024/8/1 8:3:22, 53.36, 23.75, 257.44, 1836.75, 3818.36, 0.00, 0.00, 0.00, 57, 1
117999, 1722499404, 2024/8/1 8:3:24, 53.82, 23.79, 258.38, 1837.31, 3813.48, 0.00, 0.00, 0.00, 58, 1
119999, 1722499406, 2024/8/1 8:3:26, 54.09, 23.80, 259.31, 1838.06, 3818.36, 0.00, 0.00, 0.00, 59, 1
121999, 1722499408, 2024/8/1 8:3:28, 54.33, 23.79, 260.44, 1838.81, 3818.36, 0.00, 0.00, 0.00, 60, 1
123999, 1722499410, 2024/8/1 8:3:30, 54.54, 23.82, 261.38, 1839.56, 3818.36, 0.00, 0.00, 0.00, 61, 1
125999, 1722499412, 2024/8/1 8:3:32, 54.70, 23.85, 262.50, 1840.13, 3818.36, 0.00, 0.00, 0.00, 62, 1
128000, 1722499414, 2024/8/1 8:3:34, 54.92, 23.89, 263.63, 1840.88, 3813.48, 0.00, 0.00, 0.00, 63, 1
129999, 1722499416, 2024/8/1 8:3:36, 55.12, 23.91, 264.56, 1841.81, 3818.36, 0.00, 0.00, 0.00, 64, 1
131999, 1722499418, 2024/8/1 8:3:38, 55.22, 23.91, 265.50, 1842.19, 3818.36, 0.00, 0.00, 0.00, 65, 1
133999, 1722499420, 2024/8/1 8:3:40, 55.34, 23.93, 266.44, 1843.13, 3818.36, 0.00, 0.00, 0.00, 66, 1
135999, 1722499422, 2024/8/1 8:3:42, 55.37, 23.99, 267.38, 1843.88, 3813.48, 0.00, 0.00, 0.00, 67, 1
137999, 1722499424, 2024/8/1 8:3:44, 55.46, 24.01, 268.50, 1844.63, 3818.36, 0.00, 0.00, 0.00, 68, 1
139999, 1722499426, 2024/8/1 8:3:46, 55.51, 24.05, 269.44, 1845.38, 3813.48, 0.00, 0.00, 0.00, 69, 1
141999, 1722499428, 2024/8/1 8:3:48, 55.53, 24.06, 270.38, 1845.94, 3818.36, 0.00, 0.00, 0.00, 70, 1
143998, 1722499430, 2024/8/1 8:3:50, 55.47, 24.08, 271.13, 1846.69, 3818.36, 0.00, 0.00, 0.00, 71, 1
145998, 1722499432, 2024/8/1 8:3:52, 55.37, 24.11, 272.25, 1847.44, 3813.48, 0.00, 0.00, 0.00, 72, 1
147999, 1722499434, 2024/8/1 8:3:54, 55.13, 24.13, 273.19, 1848.19, 3818.36, 0.00, 0.00, 0.00, 73, 1
149999, 1722499436, 2024/8/1 8:3:56, 54.74, 24.14, 273.94, 1848.94, 3818.36, 0.00, 0.00, 0.00, 74, 1
151999, 1722499438, 2024/8/1 8:3:58, 54.65, 24.17, 274.88, 1849.50, 3818.36, 0.00, 0.00, 0.00, 75, 1
153999, 1722499440, 2024/8/1 8:4:0, 54.69, 24.21, 275.63, 1850.25, 3818.36, 0.00, 0.00, 0.00, 76, 1
155998, 1722499442, 2024/8/1 8:4:2, 54.79, 24.22, 276.38, 1850.81, 3818.36, 0.00, 0.00, 0.00, 77, 1
157999, 1722499444, 2024/8/1 8:4:4, 54.94, 24.24, 277.13, 1851.56, 3818.36, 0.00, 0.00, 0.00, 78, 1
159998, 1722499446, 2024/8/1 8:4:6, 55.05, 24.25, 277.69, 1852.50, 3818.36, 0.00, 0.00, 0.00, 79, 1
161999, 1722499448, 2024/8/1 8:4:8, 55.11, 24.28, 278.44, 1853.25, 3818.36, 0.00, 0.00, 0.00, 80, 1
163999, 1722499450, 2024/8/1 8:4:10, 55.15, 24.31, 279.56, 1854.19, 3808.59, 0.00, 23.41, 0.00, 81, 1
165999, 1722499452, 2024/8/1 8:4:12, 55.20, 24.34, 280.31, 1854.94, 3710.94, 0.00, 23.41, 0.00, 82, 1
167999, 1722499454, 2024/8/1 8:4:14, 55.25, 24.38, 281.06, 1855.88, 3710.94, 0.00, 23.41, 0.00, 83, 1
169999, 1722499456, 2024/8/1 8:4:16, 55.26, 24.39, 281.81, 1856.25, 3706.05, 0.00, 23.41, 0.00, 84, 1
172000, 1722499458, 2024/8/1 8:4:18, 55.29, 24.41, 282.56, 1857.00, 3706.05, 0.00, 23.41, 0.00, 85, 1
174000, 1722499460, 2024/8/1 8:4:20, 55.28, 24.45, 283.31, 1857.94, 3706.05, 0.00, 23.41, 0.00, 86, 1
175998, 1722499462, 2024/8/1 8:4:22, 55.22, 24.47, 283.88, 1858.50, 3706.05, 0.00, 23.41, 0.00, 87, 1
177998, 1722499464, 2024/8/1 8:4:24, 55.11, 24.49, 284.25, 1858.88, 3818.36, 0.00, 23.41, 0.00, 88, 1
179999, 1722499466, 2024/8/1 8:4:26, 55.06, 24.51, 284.81, 1859.63, 3818.36, 0.00, 23.41, 0.00, 89, 1
