SN: 20240001,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,
,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998,1724760354, 2024/8/27 12:5:54,95.56,26.56,271.88,1837.5,3881.84,0,0,0,1,1
5999,1724760354, 2024/8/27 12:5:54,95.58,26.36,292.69,1818.38,3876.95,0,0,0,2,1
7999,1724760354, 2024/8/27 12:5:54,95.58,26.21,300,1802.25,3867.19,0,0,0,3,1
9999,1724760354, 2024/8/27 12:5:54,95.61,26.11,301.31,1799.81,3857.42,0,0,0,4,1
11999,1724760354, 2024/8/27 12:5:54,95.63,25.99,303.94,1840.69,3842.77,0,0,0,5,1
13999,1724760354, 2024/8/27 12:5:54,95.66,25.98,300.94,1848.19,3837.89,0,0,0,6,1
16000,1724760354, 2024/8/27 12:5:54,95.69,25.93,303.38,1845.94,3901.37,0,0,0,7,1
17999,1724760354, 2024/8/27 12:5:54,95.68,25.75,304.69,1841.63,3964.84,0,0,0,8,1
19999,1724760354, 2024/8/27 12:5:54,95.76,25.93,307.88,1797.75,3876.95,0,0,0,9,1
21999,1724760354, 2024/8/27 12:5:54,95.79,26,305.44,1797.75,3862.3,0,0,0,10,1
23998,1724760354, 2024/8/27 12:5:54,95.77,25.94,309.56,1836.75,3842.77,0,0,0,11,1
25999,1724760354, 2024/8/27 12:5:54,95.81,25.96,306.56,1814.81,3837.89,0,0,0,12,1
27999,1724760354, 2024/8/27 12:5:54,95.78,25.88,309.19,1793.25,3842.77,0,0,0,13,1
29999,1724760354, 2024/8/27 12:5:54,95.8,25.76,309.38,1812.38,3842.77,0,0,0,14,1
32000,1724760354, 2024/8/27 12:5:54,95.87,25.98,307.5,1809.94,3837.89,0,0,0,15,1
33998,1724760354, 2024/8/27 12:5:54,95.89,26.01,314.44,1804.31,3837.89,0,0,0,16,1
35999,1724760354, 2024/8/27 12:5:54,95.93,26.13,320.63,1841.25,3837.89,0,0,0,17,1
