SN: 20240004,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,
,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999,1724746210, 2024/8/27 8:10:10,52.22,23.56,363.19,1879.5,3789.06,0,0,0,1,1
5999,1724746212, 2024/8/27 8:10:12,53.13,23.57,300.38,1879.69,3779.3,0,0,0,2,1
7999,1724746214, 2024/8/27 8:10:14,53.79,23.56,255.94,1879.88,3789.06,0,0,0,3,1
9999,1724746216, 2024/8/27 8:10:16,53.96,23.55,228.19,1879.88,3789.06,0,0,0,4,1
11999,1724746218, 2024/8/27 8:10:18,54.07,23.57,211.88,1879.88,3784.18,0,0,0,5,1
13999,1724746220, 2024/8/27 8:10:20,54.11,23.57,202.69,1880.06,3784.18,0,0,0,6,1
15998,1724746222, 2024/8/27 8:10:22,54.01,23.57,197.44,1880.06,3789.06,0,0,0,7,1
17999,1724746224, 2024/8/27 8:10:24,53.89,23.6,194.63,1880.06,3789.06,0,0,0,8,1
19999,1724746226, 2024/8/27 8:10:26,53.61,23.59,193.31,1880.25,3784.18,0,0,0,9,1
21999,1724746228, 2024/8/27 8:10:28,53.12,23.6,192.94,1880.44,3789.06,0,0,0,10,1
23999,1724746230, 2024/8/27 8:10:30,52.78,23.58,193.13,1880.44,3789.06,0,0,0,11,1
25999,1724746232, 2024/8/27 8:10:32,52.67,23.59,193.88,1880.81,3793.95,0,0,0,12,1
27999,1724746234, 2024/8/27 8:10:34,52.73,23.6,195,1881,3793.95,0,0,0,13,1
29999,1724746236, 2024/8/27 8:10:36,52.56,23.61,196.13,1881,3789.06,0,0,0,14,1
32000,1724746238, 2024/8/27 8:10:38,52.69,23.62,197.44,1881.19,3784.18,0,0,0,15,1
33999,1724746240, 2024/8/27 8:10:40,53.08,23.61,198.94,1881.56,3789.06,0,0,0,16,1
35999,1724746242, 2024/8/27 8:10:42,53.25,23.63,200.44,1881.75,3784.18,0,0,0,17,1
37999,1724746244, 2024/8/27 8:10:44,53.64,23.65,202.13,1882.13,3793.95,0,0,0,18,1
39999,1724746246, 2024/8/27 8:10:46,53.89,23.63,203.63,1882.5,3789.06,0,0,0,19,1
41999,1724746248, 2024/8/27 8:10:48,54.01,23.64,205.5,1882.69,3793.95,0,0,0,20,1
43999,1724746250, 2024/8/27 8:10:50,54.22,23.67,207,1883.25,3793.95,0,0,0,21,1
45999,1724746252, 2024/8/27 8:10:52,54.2,23.69,208.5,1883.44,3784.18,0,0,0,22,1
48000,1724746254, 2024/8/27 8:10:54,54.06,23.68,209.81,1884,3784.18,0,0,0,23,1
49999,1724746256, 2024/8/27 8:10:56,53.99,23.67,211.31,1884.38,3789.06,0,0,0,24,1
