SN: 20240001,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,
,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999,1725260884, 2024/9/2 7:8:4,64.69,20.68,446.81,1769.63,3710.94,0,0,0,1,1
5999,1725260886, 2024/9/2 7:8:6,64.69,20.62,314.63,1768.31,3725.59,0,0,0,2,1
7999,1725260888, 2024/9/2 7:8:8,64.68,20.6,258.56,1767.38,3691.41,0,0,0,3,1
9999,1725260890, 2024/9/2 7:8:10,64.54,20.61,223.88,1766.81,3657.23,0,0,0,4,1
11999,1725260892, 2024/9/2 7:8:12,64.19,20.61,203.44,1767,3686.52,0,0,0,5,1
13999,1725260894, 2024/9/2 7:8:14,63.88,20.56,191.44,1767,3671.87,0,0,0,6,1
16000,1725260896, 2024/9/2 7:8:16,63.89,20.55,184.31,1766.44,3681.64,0,0,0,7,1
17999,1725260898, 2024/9/2 7:8:18,63.87,20.57,180,1766.44,3691.41,0,0,0,8,1
19998,1725260900, 2024/9/2 7:8:20,63.98,20.53,177.38,1766.06,3671.87,0,0,0,9,1
21999,1725260902, 2024/9/2 7:8:22,63.88,20.51,176.06,1766.25,3730.47,0,0,0,10,1
23999,1725260904, 2024/9/2 7:8:24,63.75,20.5,175.31,1766.44,3750,0,0,0,11,1
25999,1725260906, 2024/9/2 7:8:26,63.76,20.5,175.13,1766.44,3696.29,0,0,0,12,1
27999,1725260908, 2024/9/2 7:8:28,63.85,20.5,175.13,1766.25,3730.47,0,0,0,13,1
29999,1725260910, 2024/9/2 7:8:30,64.02,20.51,175.5,1766.44,3701.17,0,0,0,14,1
32000,1725260912, 2024/9/2 7:8:32,64.2,20.49,176.06,1766.63,3647.46,0,0,0,15,1
33998,1725260914, 2024/9/2 7:8:34,64.29,20.49,176.63,1766.63,3735.35,0,0,0,16,1
35999,1725260916, 2024/9/2 7:8:36,64.45,20.47,177.19,1766.81,3662.11,0,0,0,17,1
37998,1725260918, 2024/9/2 7:8:38,64.66,20.5,177.94,1767,3725.59,0,0,0,18,1
39999,1725260920, 2024/9/2 7:8:40,64.64,20.47,178.69,1767,3720.7,0,0,0,19,1
41999,1725260922, 2024/9/2 7:8:42,64.68,20.48,179.63,1767.19,3730.47,0,0,0,20,1
43999,1725260924, 2024/9/2 7:8:44,64.63,20.48,180.38,1767.19,3720.7,0,0,0,21,1
45999,1725260926, 2024/9/2 7:8:46,64.63,20.46,181.13,1767.38,3676.76,0,0,0,22,1
47998,1725260928, 2024/9/2 7:8:48,64.65,20.42,181.88,1767.38,3735.35,0,0,0,23,1
49999,1725260930, 2024/9/2 7:8:50,64.2,20.42,182.44,1767.19,3657.23,0,0,0,24,1
51999,1725260932, 2024/9/2 7:8:52,63.97,20.42,183.19,1767.38,3740.23,0,0,0,25,1
53999,1725260934, 2024/9/2 7:8:54,63.94,20.42,183.56,1767.38,3701.17,0,0,0,26,1
55998,1725260936, 2024/9/2 7:8:56,63.96,20.43,184.31,1767.56,3691.41,0,0,0,27,1
57999,1725260938, 2024/9/2 7:8:58,64,20.43,184.88,1767.94,3745.12,0,0,0,28,1
59999,1725260940, 2024/9/2 7:9:0,64.01,20.42,185.63,1767.94,3715.82,0,0,0,29,1
61999,1725260942, 2024/9/2 7:9:2,64.14,20.4,186.19,1768.13,3730.47,0,0,0,30,1
63998,1725260944, 2024/9/2 7:9:4,64.23,20.4,186.94,1768.31,3740.23,0,0,0,31,1
65999,1725260946, 2024/9/2 7:9:6,64.3,20.4,187.69,1768.13,3730.47,0,0,0,32,1
67999,1725260948, 2024/9/2 7:9:8,64.29,20.4,188.25,1767.75,3745.12,0,0,0,33,1
69999,1725260950, 2024/9/2 7:9:10,64.37,20.41,189,1767.75,3745.12,0,0,0,34,1
71999,1725260952, 2024/9/2 7:9:12,64.5,20.4,189.75,1768.31,3745.12,0,0,0,35,1
73999,1725260954, 2024/9/2 7:9:14,64.56,20.4,190.31,1768.31,3745.12,0,0,0,36,1
75999,1725260956, 2024/9/2 7:9:16,64.63,20.4,191.25,1769.06,3740.23,0,0,0,37,1
77999,1725260958, 2024/9/2 7:9:18,64.73,20.44,192,1769.06,3759.77,0,0,0,38,1
80000,1725260960, 2024/9/2 7:9:20,64.83,20.38,192.75,1768.88,3754.88,0,0,0,39,1
81998,1725260962, 2024/9/2 7:9:22,64.78,20.4,193.31,1769.25,3754.88,0,0,0,40,1
84000,1725260964, 2024/9/2 7:9:24,64.65,20.39,193.88,1769.44,3754.88,0,0,0,41,1
85999,1725260966, 2024/9/2 7:9:26,64.46,20.4,194.25,1769.63,3754.88,0,0,0,42,1
87999,1725260968, 2024/9/2 7:9:28,64.39,20.42,194.63,1770.19,3754.88,0,0,0,43,1
89999,1725260970, 2024/9/2 7:9:30,64.27,20.39,195.19,1770,3754.88,0,0,0,44,1
92000,1725260972, 2024/9/2 7:9:32,64.22,20.4,195.56,1769.81,3750,0,0,0,45,1
93999,1725260974, 2024/9/2 7:9:34,64.18,20.38,195.75,1770.19,3750,0,0,0,46,1
