SN: 20240004,,,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle,,
3998,1725868998, 2024/9/9 8:3:18,53.52,23.27,513.94,1879.13,3676.76,0,0,0,1,1,,
5999,1725869000, 2024/9/9 8:3:20,53.61,23.31,332.06,1879.69,3662.11,0,0,0,2,1,,
7999,1725869002, 2024/9/9 8:3:22,53.87,23.33,269.63,1880.06,3652.34,0,0,0,3,1,,
9999,1725869004, 2024/9/9 8:3:24,52.85,23.31,233.06,1880.25,3696.29,0,0,0,4,1,,
11999,1725869006, 2024/9/9 8:3:26,52,23.36,212.81,1880.81,3681.64,0,0,0,5,1,,
13999,1725869008, 2024/9/9 8:3:28,51.42,23.43,200.44,1881.19,3637.7,0,0,0,6,1,,
16000,1725869010, 2024/9/9 8:3:30,51.1,23.47,193.5,1881.75,3632.81,0,0,0,7,1,,
17999,1725869012, 2024/9/9 8:3:32,50.94,23.48,189.38,1882.31,3686.52,0,0,0,8,1,,
19999,1725869014, 2024/9/9 8:3:34,51.35,23.5,187.69,1883.44,3666.99,0,0,0,9,1,,
22000,1725869016, 2024/9/9 8:3:36,53.2,23.51,189,1883.63,3730.47,0,0,0,10,1,,
23999,1725869018, 2024/9/9 8:3:38,55.29,23.54,190.13,1884.38,3618.16,0,0,0,11,1,,
25999,1725869020, 2024/9/9 8:3:40,57.15,23.59,191.25,1884.75,3603.52,0,0,0,12,1,,
27999,1725869022, 2024/9/9 8:3:42,59.13,23.66,192.38,1885.69,3696.29,0,0,0,13,1,,
29999,1725869024, 2024/9/9 8:3:44,61.18,23.68,194.81,1886.44,3652.34,0,0,0,14,1,,
32000,1725869026, 2024/9/9 8:3:46,60.75,23.64,195.38,1887.94,3706.05,0,0,0,15,1,,
33999,1725869028, 2024/9/9 8:3:48,58.03,23.68,195,1887.94,3735.35,0,0,0,16,1,,
35999,1725869030, 2024/9/9 8:3:50,56.28,23.71,195.19,1887.94,3735.35,0,0,0,17,1,,
37998,1725869032, 2024/9/9 8:3:52,55.31,23.74,195.75,1888.31,3730.47,0,0,0,18,1,,
40000,1725869034, 2024/9/9 8:3:54,55.18,23.73,196.69,1888.5,3730.47,0,0,0,19,1,,
42000,1725869036, 2024/9/9 8:3:56,54.83,23.74,197.81,1888.69,3735.35,0,0,0,20,1,,
43999,1725869038, 2024/9/9 8:3:58,54.43,23.79,198.56,1889.25,3710.94,0,0,0,21,1,,
45999,1725869040, 2024/9/9 8:4:0,53.52,23.79,199.5,1889.81,3740.23,0,0,0,22,1,,
48000,1725869042, 2024/9/9 8:4:2,53.05,23.8,200.63,1890.19,3740.23,0,0,0,23,1,,
49999,1725869044, 2024/9/9 8:4:4,52.72,23.8,201.94,1890.38,3745.12,0,0,0,24,1,,
51999,1725869046, 2024/9/9 8:4:6,52.13,23.83,203.44,1890.75,3745.12,0,0,0,25,1,,
53999,1725869048, 2024/9/9 8:4:8,51.95,23.81,204.75,1891.31,3745.12,0,0,0,26,1,,
55999,1725869050, 2024/9/9 8:4:10,52.02,23.83,206.25,1891.88,3745.12,0,0,0,27,1,,
58000,1725869052, 2024/9/9 8:4:12,52.21,23.85,207.75,1892.06,3740.23,0,0,0,28,1,,
59999,1725869054, 2024/9/9 8:4:14,52.39,23.86,209.25,1892.63,3745.12,0,0,0,29,1,,
61999,1725869056, 2024/9/9 8:4:16,52.54,23.87,210.75,1893.19,3745.12,0,0,0,30,1,,
63998,1725869058, 2024/9/9 8:4:18,52.7,23.89,212.25,1893.75,3745.12,0,0,0,31,1,,
65999,1725869060, 2024/9/9 8:4:20,52.78,23.88,213.56,1894.13,3750,0,0,0,32,1,,
67999,1725869062, 2024/9/9 8:4:22,52.85,23.89,215.06,1894.88,3750,0,0,0,33,1,,
69999,1725869064, 2024/9/9 8:4:24,52.82,23.91,216.38,1895.25,3750,0,0,0,34,1,,
72000,1725869066, 2024/9/9 8:4:26,52.85,23.93,217.69,1896,3750,0,0,0,35,1,,
73999,1725869068, 2024/9/9 8:4:28,52.84,23.95,219.19,1896.56,3750,0,0,0,36,1,,
76000,1725869070, 2024/9/9 8:4:30,52.8,23.94,220.5,1897.13,3750,0,0,0,37,1,,
77999,1725869072, 2024/9/9 8:4:32,52.75,23.97,221.81,1897.88,3750,0,0,0,38,1,,
80000,1725869074, 2024/9/9 8:4:34,52.66,23.96,222.94,1898.44,3750,0,0,0,39,1,,
81998,1725869076, 2024/9/9 8:4:36,52.54,23.99,224.25,1898.81,3745.12,0,0,0,40,1,,
83999,1725869078, 2024/9/9 8:4:38,52.42,23.97,225.56,1899.56,3754.88,0,0,0,41,1,,
85999,1725869080, 2024/9/9 8:4:40,52.34,24.01,226.69,1900.13,3750,0,0,0,42,1,,
87999,1725869082, 2024/9/9 8:4:42,52.25,24.02,227.81,1901.06,3745.12,0,0,0,43,1,,
89999,1725869084, 2024/9/9 8:4:44,52.13,24.04,229.13,1901.63,3750,0,0,0,44,1,,
92000,1725869086, 2024/9/9 8:4:46,52.02,24.05,230.06,1902.19,3745.12,0,0,0,45,1,,
93999,1725869088, 2024/9/9 8:4:48,51.88,24.05,231.19,1902.75,3750,0,0,0,46,1,,
96000,1725869090, 2024/9/9 8:4:50,51.77,24.07,232.31,1903.5,3750,0,0,0,47,1,,
97999,1725869092, 2024/9/9 8:4:52,51.64,24.09,233.44,1904.06,3745.12,0,0,0,48,1,,
99999,1725869094, 2024/9/9 8:4:54,51.55,24.12,234.38,1904.63,3750,0,0,0,49,1,,
101999,1725869096, 2024/9/9 8:4:56,51.46,24.13,235.5,1905.38,3745.12,0,0,0,50,1,,
104000,1725869098, 2024/9/9 8:4:58,51.43,24.15,236.44,1905.94,3750,0,0,0,51,1,,
105999,1725869100, 2024/9/9 8:5:0,51.32,24.17,237.38,1906.88,3750,0,0,0,52,1,,
107999,1725869102, 2024/9/9 8:5:2,51.27,24.2,238.31,1907.44,3750,0,0,0,53,1,,
110000,1725869104, 2024/9/9 8:5:4,51.17,24.22,239.25,1908.19,3750,0,0,0,54,1,,
111998,1725869106, 2024/9/9 8:5:6,51.13,24.24,240.19,1908.94,3745.12,0,0,0,55,1,,
113999,1725869108, 2024/9/9 8:5:8,51.05,24.24,240.94,1909.5,3745.12,0,0,0,56,1,,
115999,1725869110, 2024/9/9 8:5:10,50.97,24.27,241.88,1910.25,3750,0,0,0,57,1,,
117999,1725869112, 2024/9/9 8:5:12,50.89,24.27,242.81,1910.81,3750,0,0,0,58,1,,
119999,1725869114, 2024/9/9 8:5:14,50.83,24.31,243.56,1911.56,3750,0,0,0,59,1,,
121999,1725869116, 2024/9/9 8:5:16,50.75,24.31,244.5,1912.31,3750,0,0,0,60,1,,
123999,1725869118, 2024/9/9 8:5:18,50.63,24.37,245.25,1913.06,3745.12,0,0,0,61,1,,
125999,1725869120, 2024/9/9 8:5:20,50.59,24.38,246,1913.63,3750,0,0,0,62,1,,
128000,1725869122, 2024/9/9 8:5:22,50.53,24.39,246.75,1914.38,3745.12,0,0,0,63,1,,
129998,1725869124, 2024/9/9 8:5:24,50.43,24.41,247.5,1914.94,3750,0,0,0,64,1,,
131999,1725869126, 2024/9/9 8:5:26,50.33,24.41,248.25,1915.69,3750,0,0,0,65,1,,
133999,1725869128, 2024/9/9 8:5:28,50.21,24.44,249,1916.25,3745.12,0,0,0,66,1,,
135999,1725869130, 2024/9/9 8:5:30,50.15,24.47,249.75,1917,3754.88,0,0,0,67,1,,
137999,1725869132, 2024/9/9 8:5:32,50.05,24.49,250.31,1917.56,3745.12,0,0,0,68,1,,
139999,1725869134, 2024/9/9 8:5:34,49.95,24.51,251.06,1918.31,3754.88,0,0,0,69,1,,
141999,1725869136, 2024/9/9 8:5:36,49.91,24.54,251.81,1919.06,3750,0,0,0,70,1,,
144000,1725869138, 2024/9/9 8:5:38,49.82,24.55,252.38,1919.63,3754.88,0,0,0,71,1,,
145998,1725869140, 2024/9/9 8:5:40,49.72,24.58,252.94,1920.38,3754.88,0,0,0,72,1,,
147999,1725869142, 2024/9/9 8:5:42,49.69,24.62,253.69,1921.13,3754.88,0,0,0,73,1,,
149999,1725869144, 2024/9/9 8:5:44,49.61,24.63,254.25,1921.69,3750,0,0,0,74,1,,
