SN: 20240004,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,
,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
5999,1721723344, 2024/7/23 8:29:4,73.22,25.85,346.88,1940.25,3764.65,0,0,0,2,1
7999,1721723346, 2024/7/23 8:29:6,73.04,25.85,305.25,1940.25,3764.65,0,0,0,3,1
9999,1721723348, 2024/7/23 8:29:8,72.53,25.84,276.75,1940.25,3764.65,0,0,0,4,1
11999,1721723350, 2024/7/23 8:29:10,71.19,25.85,259.13,1940.25,3764.65,0,0,0,5,1
14000,1721723352, 2024/7/23 8:29:12,70.03,25.85,248.63,1940.06,3764.65,0,0,0,6,1
16000,1721723354, 2024/7/23 8:29:14,69.47,25.88,242.25,1940.06,3764.65,0,0,0,7,1
17999,1721723356, 2024/7/23 8:29:16,69.42,25.88,238.5,1940.25,3774.41,0,0,0,8,1
19999,1721723358, 2024/7/23 8:29:18,69.51,25.89,236.63,1940.25,3769.53,0,0,0,9,1
22000,1721723360, 2024/7/23 8:29:20,69.52,25.89,235.88,1940.25,3769.53,0,0,0,10,1
24000,1721723362, 2024/7/23 8:29:22,69.49,25.91,235.88,1940.25,3774.41,0,0,0,11,1
25999,1721723364, 2024/7/23 8:29:24,69.54,25.91,236.25,1940.44,3769.53,0,0,0,12,1
27999,1721723366, 2024/7/23 8:29:26,69.5,25.95,237.19,1940.44,3769.53,0,0,0,13,1
29999,1721723368, 2024/7/23 8:29:28,69.29,25.94,238.13,1940.63,3774.41,0,0,0,14,1
32000,1721723370, 2024/7/23 8:29:30,69.35,25.96,239.44,1941,3774.41,0,0,0,15,1
33999,1721723372, 2024/7/23 8:29:32,69.38,25.96,240.94,1941,3769.53,0,0,0,16,1
36000,1721723374, 2024/7/23 8:29:34,69.27,25.96,242.25,1941.19,3769.53,0,0,0,17,1
37999,1721723376, 2024/7/23 8:29:36,69.23,25.99,243.94,1941.38,3774.41,0,0,0,18,1
39999,1721723378, 2024/7/23 8:29:38,69.19,25.98,245.63,1941.75,3774.41,0,0,0,19,1
42000,1721723380, 2024/7/23 8:29:40,69.02,25.98,247.5,1941.94,3774.41,0,0,0,20,1
43999,1721723382, 2024/7/23 8:29:42,68.79,25.99,249.19,1942.13,3774.41,0,0,0,21,1
46000,1721723384, 2024/7/23 8:29:44,68.72,26,250.88,1942.5,3779.3,0,0,0,22,1
48000,1721723386, 2024/7/23 8:29:46,68.58,26.03,252.56,1942.88,3774.41,0,0,0,23,1
49998,1721723388, 2024/7/23 8:29:48,68.5,26.02,254.44,1943.25,3774.41,0,0,0,24,1
51999,1721723390, 2024/7/23 8:29:50,68.57,26.05,256.13,1943.63,3769.53,0,0,0,25,1
53999,1721723392, 2024/7/23 8:29:52,68.26,26.06,257.81,1943.81,3779.3,0,0,0,26,1
56000,1721723394, 2024/7/23 8:29:54,67.99,26.07,259.5,1944.38,3779.3,0,0,0,27,1
57999,1721723396, 2024/7/23 8:29:56,67.91,26.05,261,1944.56,3774.41,0,0,0,28,1
59999,1721723398, 2024/7/23 8:29:58,67.72,26.07,262.5,1944.94,3779.3,0,0,0,29,1
61999,1721723400, 2024/7/23 8:30:0,67.54,26.1,264.19,1945.31,3774.41,0,0,0,30,1
63998,1721723402, 2024/7/23 8:30:2,67.41,26.08,265.88,1945.88,3774.41,0,0,0,31,1
65999,1721723404, 2024/7/23 8:30:4,67.41,26.09,267.56,1946.25,3774.41,0,0,0,32,1
67999,1721723406, 2024/7/23 8:30:6,67.46,26.1,269.06,1946.63,3779.3,0,0,0,33,1
