
SN: 20240004
Software version: 3.0

millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998, 1722326423, 2024/7/30 8:0:23, 67.32, 19.89, 677.81, 1824.38, 3764.65, 0.00, 0.00, 0.00, 1, 1
5999, 1722326425, 2024/7/30 8:0:25, 66.68, 19.91, 367.69, 1824.38, 3764.65, 0.00, 0.00, 0.00, 2, 1
7999, 1722326427, 2024/7/30 8:0:27, 66.11, 19.91, 293.44, 1824.56, 3764.65, 0.00, 0.00, 0.00, 3, 1
9999, 1722326429, 2024/7/30 8:0:29, 65.64, 19.90, 252.56, 1824.75, 3764.65, 0.00, 0.00, 0.00, 4, 1
11999, 1722326431, 2024/7/30 8:0:31, 65.25, 19.92, 228.38, 1824.94, 3764.65, 0.00, 0.00, 0.00, 5, 1
13999, 1722326433, 2024/7/30 8:0:33, 65.16, 19.97, 213.75, 1824.94, 3759.77, 0.00, 0.00, 0.00, 6, 1
15998, 1722326435, 2024/7/30 8:0:35, 65.13, 19.93, 204.75, 1825.13, 3769.53, 0.00, 0.00, 0.00, 7, 1
17999, 1722326437, 2024/7/30 8:0:37, 65.08, 19.95, 198.94, 1825.31, 3764.65, 0.00, 0.00, 0.00, 8, 1
19998, 1722326439, 2024/7/30 8:0:39, 65.03, 19.96, 195.38, 1825.50, 3764.65, 0.00, 0.00, 0.00, 9, 1
21999, 1722326441, 2024/7/30 8:0:41, 64.82, 19.98, 193.50, 1825.69, 3764.65, 0.00, 0.00, 0.00, 10, 1
23999, 1722326443, 2024/7/30 8:0:43, 64.56, 19.98, 192.56, 1826.06, 3769.53, 0.00, 0.00, 0.00, 11, 1
25999, 1722326445, 2024/7/30 8:0:45, 64.33, 19.97, 192.00, 1826.06, 3764.65, 0.00, 0.00, 0.00, 12, 1
28000, 1722326447, 2024/7/30 8:0:47, 64.22, 19.97, 192.19, 1826.44, 3764.65, 0.00, 0.00, 0.00, 13, 1
