
SN: 20240001
Software version: 3.0

millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998, 1724228211, 2024/8/21 8:16:51, 64.99, 20.44, 307.13, 1768.69, 3769.53, 0.00, 0.00, 0.00, 1, 1
5999, 1724228213, 2024/8/21 8:16:53, 64.37, 20.44, 259.88, 1768.69, 3769.53, 0.00, 0.00, 0.00, 2, 1
7999, 1724228215, 2024/8/21 8:16:55, 63.85, 20.43, 222.00, 1768.88, 3779.30, 0.00, 0.00, 0.00, 3, 1
9999, 1724228217, 2024/8/21 8:16:57, 63.39, 20.47, 198.38, 1769.06, 3779.30, 0.00, 0.00, 0.00, 4, 1
11999, 1724228219, 2024/8/21 8:16:59, 63.12, 20.46, 185.06, 1769.44, 3774.41, 0.00, 0.00, 0.00, 5, 1
13998, 1724228221, 2024/8/21 8:17:1, 63.05, 20.49, 177.94, 1769.63, 3774.41, 0.00, 0.00, 0.00, 6, 1
15998, 1724228223, 2024/8/21 8:17:3, 63.06, 20.47, 174.19, 1769.81, 3774.41, 0.00, 0.00, 0.00, 7, 1
17999, 1724228225, 2024/8/21 8:17:5, 63.17, 20.51, 172.50, 1770.00, 3774.41, 0.00, 0.00, 0.00, 8, 1
19999, 1724228227, 2024/8/21 8:17:7, 63.47, 20.51, 171.94, 1770.38, 3779.30, 0.00, 0.00, 0.00, 9, 1
21999, 1724228229, 2024/8/21 8:17:9, 63.71, 20.51, 172.13, 1770.75, 3774.41, 0.00, 0.00, 0.00, 10, 1
23999, 1724228231, 2024/8/21 8:17:11, 63.63, 20.55, 172.69, 1770.94, 3774.41, 0.00, 0.00, 0.00, 11, 1
25999, 1724228233, 2024/8/21 8:17:13, 63.47, 20.55, 173.81, 1771.13, 3779.30, 0.00, 0.00, 0.00, 12, 1
27999, 1724228235, 2024/8/21 8:17:15, 63.35, 20.56, 174.94, 1771.50, 3779.30, 0.00, 0.00, 0.00, 13, 1
30000, 1724228237, 2024/8/21 8:17:17, 63.08, 20.57, 176.25, 1771.69, 3779.30, 0.00, 0.00, 0.00, 14, 1
32000, 1724228239, 2024/8/21 8:17:19, 62.90, 20.60, 177.75, 1771.88, 3779.30, 0.00, 0.00, 0.00, 15, 1
33998, 1724228241, 2024/8/21 8:17:21, 62.61, 20.61, 179.25, 1772.25, 3774.41, 0.00, 0.00, 0.00, 16, 1
35998, 1724228243, 2024/8/21 8:17:23, 62.47, 20.62, 180.75, 1772.63, 3779.30, 0.00, 0.00, 0.00, 17, 1
37999, 1724228245, 2024/8/21 8:17:25, 62.40, 20.63, 182.25, 1773.00, 3779.30, 0.00, 0.00, 0.00, 18, 1
39999, 1724228247, 2024/8/21 8:17:27, 62.41, 20.68, 183.94, 1773.19, 3779.30, 0.00, 0.00, 0.00, 19, 1
41999, 1724228249, 2024/8/21 8:17:29, 62.35, 20.66, 185.44, 1773.75, 3779.30, 0.00, 0.00, 0.00, 20, 1
43999, 1724228251, 2024/8/21 8:17:31, 62.29, 20.66, 187.13, 1773.94, 3779.30, 0.00, 0.00, 0.00, 21, 1
45999, 1724228253, 2024/8/21 8:17:33, 62.03, 20.70, 188.63, 1774.31, 3779.30, 0.00, 0.00, 0.00, 22, 1
48000, 1724228255, 2024/8/21 8:17:35, 61.61, 20.70, 190.31, 1774.69, 3779.30, 0.00, 0.00, 0.00, 23, 1
49999, 1724228257, 2024/8/21 8:17:37, 61.40, 20.72, 191.81, 1775.25, 3779.30, 0.00, 0.00, 0.00, 24, 1
52000, 1724228259, 2024/8/21 8:17:39, 61.34, 20.74, 193.13, 1775.63, 3779.30, 0.00, 0.00, 0.00, 25, 1
53999, 1724228261, 2024/8/21 8:17:41, 60.77, 20.75, 194.63, 1776.38, 3774.41, 0.00, 0.00, 0.00, 26, 1
55999, 1724228263, 2024/8/21 8:17:43, 60.19, 20.76, 195.94, 1776.56, 3774.41, 0.00, 0.00, 0.00, 27, 1
57999, 1724228265, 2024/8/21 8:17:45, 59.87, 20.81, 197.25, 1776.94, 3779.30, 0.00, 0.00, 0.00, 28, 1
59999, 1724228267, 2024/8/21 8:17:47, 59.81, 20.80, 198.38, 1777.50, 3779.30, 0.00, 0.00, 0.00, 29, 1
61999, 1724228269, 2024/8/21 8:17:49, 59.96, 20.83, 199.69, 1777.88, 3779.30, 0.00, 0.00, 0.00, 30, 1
63998, 1724228271, 2024/8/21 8:17:51, 60.23, 20.83, 201.00, 1778.44, 3779.30, 0.00, 0.00, 0.00, 31, 1
65999, 1724228273, 2024/8/21 8:17:53, 60.41, 20.84, 202.31, 1778.81, 3779.30, 0.00, 0.00, 0.00, 32, 1
67999, 1724228275, 2024/8/21 8:17:55, 60.53, 20.84, 203.44, 1779.38, 3779.30, 0.00, 0.00, 0.00, 33, 1
69999, 1724228277, 2024/8/21 8:17:57, 60.44, 20.89, 204.94, 1779.94, 3774.41, 0.00, 0.00, 0.00, 34, 1
71999, 1724228279, 2024/8/21 8:17:59, 60.10, 20.91, 205.88, 1780.50, 3779.30, 0.00, 0.00, 0.00, 35, 1
74000, 1724228281, 2024/8/21 8:18:1, 59.89, 20.92, 207.19, 1781.25, 3779.30, 0.00, 0.00, 0.00, 36, 1
75999, 1724228283, 2024/8/21 8:18:3, 59.82, 20.96, 208.31, 1781.81, 3779.30, 0.00, 0.00, 0.00, 37, 1
77999, 1724228285, 2024/8/21 8:18:5, 59.94, 20.98, 209.25, 1782.19, 3779.30, 0.00, 0.00, 0.00, 38, 1
80000, 1724228288, 2024/8/21 8:18:8, 59.96, 21.00, 210.56, 1782.94, 3779.30, 0.00, 0.00, 0.00, 39, 1
81998, 1724228290, 2024/8/21 8:18:10, 59.91, 21.02, 211.50, 1783.31, 3779.30, 0.00, 0.00, 0.00, 40, 1
83999, 1724228292, 2024/8/21 8:18:12, 59.82, 21.04, 212.63, 1784.06, 3779.30, 0.00, 0.00, 0.00, 41, 1
85999, 1724228294, 2024/8/21 8:18:14, 59.71, 21.03, 213.75, 1784.63, 3784.18, 0.00, 0.00, 0.00, 42, 1
87999, 1724228296, 2024/8/21 8:18:16, 59.64, 21.05, 214.88, 1785.19, 3779.30, 0.00, 0.00, 0.00, 43, 1
89999, 1724228298, 2024/8/21 8:18:18, 59.60, 21.10, 216.00, 1785.75, 3779.30, 0.00, 0.00, 0.00, 44, 1
91999, 1724228300, 2024/8/21 8:18:20, 59.56, 21.09, 216.94, 1786.31, 3779.30, 0.00, 0.00, 0.00, 45, 1
