SN: 20240001,,,,,,,,,,,,
Software version: 3.0,,,,,,,,,,,,
,,,,,,,,,,,,
millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3998,1724912855, 2024/8/29 6:27:35,64.56,22.51,364.69,1796.25,3774.41,0,0,0,1,1
5999,1724912857, 2024/8/29 6:27:37,64.08,22.48,292.13,1796.44,3764.65,0,0,0,2,1
7999,1724912859, 2024/8/29 6:27:39,63.65,22.51,243.75,1796.63,3774.41,0,0,0,3,1
10000,1724912861, 2024/8/29 6:27:41,63.35,22.52,213.94,1796.63,3769.53,0,0,0,4,1
11999,1724912863, 2024/8/29 6:27:43,63.14,22.53,197.44,1796.81,3764.65,0,0,0,5,1
13999,1724912865, 2024/8/29 6:27:45,62.98,22.54,188.06,1796.81,3769.53,0,0,0,6,1
16000,1724912867, 2024/8/29 6:27:47,62.84,22.54,183,1797.19,3759.77,0,0,0,7,1
17999,1724912869, 2024/8/29 6:27:49,62.68,22.53,180.38,1797.19,3774.41,0,0,0,8,1
19998,1724912871, 2024/8/29 6:27:51,62.58,22.53,179.44,1797.38,3769.53,0,0,0,9,1
21999,1724912873, 2024/8/29 6:27:53,62.41,22.54,179.25,1797.56,3764.65,0,0,0,10,1
24000,1724912875, 2024/8/29 6:27:55,62.28,22.55,179.63,1797.94,3774.41,0,0,0,11,1
25999,1724912877, 2024/8/29 6:27:57,62.25,22.56,180.56,1797.94,3774.41,0,0,0,12,1
27999,1724912879, 2024/8/29 6:27:59,62.28,22.56,181.69,1798.31,3774.41,0,0,0,13,1
29999,1724912881, 2024/8/29 6:28:1,62.3,22.58,182.81,1798.5,3769.53,0,0,0,14,1
31998,1724912883, 2024/8/29 6:28:3,62.35,22.57,184.13,1798.69,3779.3,0,0,0,15,1
33999,1724912885, 2024/8/29 6:28:5,62.37,22.59,185.63,1799.06,3764.65,0,0,0,16,1
35999,1724912887, 2024/8/29 6:28:7,62.4,22.59,187.13,1799.25,3779.3,0,0,0,17,1
37999,1724912889, 2024/8/29 6:28:9,62.44,22.6,188.81,1799.44,3769.53,0,0,0,18,1
39999,1724912891, 2024/8/29 6:28:11,62.52,22.61,190.31,1799.81,3769.53,0,0,0,19,1
41999,1724912893, 2024/8/29 6:28:13,62.58,22.62,191.81,1800.38,3774.41,0,0,0,20,1
43999,1724912895, 2024/8/29 6:28:15,62.63,22.63,193.31,1800.56,3774.41,0,0,0,21,1
45999,1724912897, 2024/8/29 6:28:17,62.6,22.62,194.81,1800.94,3774.41,0,0,0,22,1
48000,1724912899, 2024/8/29 6:28:19,62.55,22.64,196.13,1801.31,3774.41,0,0,0,23,1
49999,1724912901, 2024/8/29 6:28:21,62.44,22.63,197.63,1801.5,3774.41,0,0,0,24,1
51998,1724912903, 2024/8/29 6:28:23,62.29,22.66,198.94,1802.06,3779.3,0,0,0,25,1
53999,1724912905, 2024/8/29 6:28:25,62.19,22.67,200.25,1802.44,3779.3,0,0,0,26,1
55999,1724912907, 2024/8/29 6:28:27,62.11,22.67,201.75,1802.81,3769.53,0,0,0,27,1
57999,1724912909, 2024/8/29 6:28:29,62.12,22.69,203.25,1803.38,3779.3,0,0,0,28,1
59999,1724912911, 2024/8/29 6:28:31,62.21,22.68,204.75,1803.75,3774.41,0,0,0,29,1
61999,1724912913, 2024/8/29 6:28:33,62.26,22.69,206.06,1804.5,3774.41,0,0,0,30,1
64000,1724912915, 2024/8/29 6:28:35,62.27,22.7,207.38,1804.88,3774.41,0,0,0,31,1
65999,1724912917, 2024/8/29 6:28:37,62.35,22.73,208.69,1805.63,3769.53,0,0,0,32,1
67999,1724912919, 2024/8/29 6:28:39,62.37,22.76,210,1806,3779.3,0,0,0,33,1
70000,1724912921, 2024/8/29 6:28:41,62.32,22.76,211.5,1806.94,3774.41,0,0,0,34,1
71999,1724912923, 2024/8/29 6:28:43,62.34,22.8,212.63,1807.5,3774.41,0,0,0,35,1
74000,1724912925, 2024/8/29 6:28:45,62.28,22.81,213.75,1807.88,3769.53,0,0,0,36,1
75999,1724912927, 2024/8/29 6:28:47,62.31,22.8,214.88,1808.81,3774.41,0,0,0,37,1
77999,1724912929, 2024/8/29 6:28:49,62.37,22.82,215.81,1809.38,3774.41,0,0,0,38,1
80000,1724912931, 2024/8/29 6:28:51,62.41,22.86,216.94,1810.13,3774.41,0,0,0,39,1
81998,1724912933, 2024/8/29 6:28:53,62.38,22.84,218.06,1810.69,3774.41,0,0,0,40,1
83999,1724912935, 2024/8/29 6:28:55,62.36,22.86,219.19,1811.06,3779.3,0,0,0,41,1
85999,1724912937, 2024/8/29 6:28:57,62.29,22.88,220.31,1812,3774.41,0,0,0,42,1
87999,1724912939, 2024/8/29 6:28:59,62.23,22.9,221.25,1812.56,3779.3,0,0,0,43,1
89999,1724912941, 2024/8/29 6:29:1,62.18,22.91,222.19,1813.13,3779.3,0,0,0,44,1
91999,1724912943, 2024/8/29 6:29:3,62.13,22.94,222.94,1813.88,3779.3,0,0,0,45,1
93999,1724912945, 2024/8/29 6:29:5,62.04,22.94,223.69,1814.63,3769.53,0,0,0,46,1
96000,1724912947, 2024/8/29 6:29:7,62.02,22.95,224.63,1815.38,3779.3,0,0,0,47,1
97999,1724912949, 2024/8/29 6:29:9,61.97,22.98,225.56,1815.94,3774.41,0,0,0,48,1
99999,1724912951, 2024/8/29 6:29:11,61.88,22.99,226.31,1816.69,3779.3,0,0,0,49,1
101999,1724912953, 2024/8/29 6:29:13,61.84,23.01,227.25,1817.44,3769.53,0,0,0,50,1
103999,1724912955, 2024/8/29 6:29:15,61.78,23.01,228,1818.19,3779.3,0,0,0,51,1
106000,1724912957, 2024/8/29 6:29:17,61.78,23.06,228.75,1818.94,3774.41,0,0,0,52,1
107999,1724912959, 2024/8/29 6:29:19,61.76,23.05,229.31,1819.69,3779.3,0,0,0,53,1
110000,1724912961, 2024/8/29 6:29:21,61.72,23.07,230.25,1820.63,3779.3,0,0,0,54,1
111998,1724912963, 2024/8/29 6:29:23,61.7,23.1,231,1821.19,3779.3,0,0,0,55,1
113999,1724912965, 2024/8/29 6:29:25,61.67,23.12,231.56,1821.94,3769.53,0,0,0,56,1
115999,1724912967, 2024/8/29 6:29:27,61.68,23.14,232.5,1822.5,3774.41,0,0,0,57,1
117999,1724912969, 2024/8/29 6:29:29,61.62,23.13,233.25,1823.25,3779.3,0,0,0,58,1
120000,1724912971, 2024/8/29 6:29:31,61.64,23.17,234,1824,3779.3,0,0,0,59,1
121999,1724912973, 2024/8/29 6:29:33,61.65,23.18,234.75,1824.94,3774.41,0,0,0,60,1
123999,1724912975, 2024/8/29 6:29:35,61.69,23.2,235.5,1825.69,3774.41,0,0,0,61,1
125999,1724912977, 2024/8/29 6:29:37,61.73,23.21,236.25,1826.25,3774.41,0,0,0,62,1
128000,1724912979, 2024/8/29 6:29:39,61.83,23.24,237,1827,3784.18,0,0,0,63,1
129998,1724912981, 2024/8/29 6:29:41,61.85,23.29,237.75,1827.94,3774.41,0,0,0,64,1
131999,1724912983, 2024/8/29 6:29:43,61.9,23.28,238.5,1828.69,3784.18,0,0,0,65,1
133999,1724912985, 2024/8/29 6:29:45,61.93,23.3,239.06,1829.25,3774.41,0,0,0,66,1
135999,1724912987, 2024/8/29 6:29:47,61.94,23.31,239.63,1830,3779.3,0,0,0,67,1
137999,1724912989, 2024/8/29 6:29:49,61.94,23.31,240.38,1830.75,3784.18,0,0,0,68,1
139999,1724912991, 2024/8/29 6:29:51,61.95,23.34,241.13,1831.5,3779.3,0,0,0,69,1
141999,1724912993, 2024/8/29 6:29:53,61.98,23.37,241.88,1832.25,3779.3,0,0,0,70,1
143998,1724912995, 2024/8/29 6:29:55,61.98,23.37,242.63,1833,3779.3,0,0,0,71,1
145998,1724912997, 2024/8/29 6:29:57,61.99,23.42,243.19,1833.75,3769.53,0,0,0,72,1
148000,1724912999, 2024/8/29 6:29:59,61.99,23.41,243.75,1834.31,3774.41,0,0,0,73,1
149999,1724913001, 2024/8/29 6:30:1,62,23.44,244.5,1834.88,3779.3,0,0,0,74,1
151999,1724913003, 2024/8/29 6:30:3,62.08,23.49,245.25,1835.63,3779.3,0,0,0,75,1
153999,1724913005, 2024/8/29 6:30:5,62.12,23.51,245.81,1836.38,3774.41,0,0,0,76,1
155999,1724913007, 2024/8/29 6:30:7,62.12,23.52,246.56,1836.94,3784.18,0,0,0,77,1
157999,1724913009, 2024/8/29 6:30:9,62.1,23.53,247.31,1837.69,3779.3,0,0,0,78,1
