
SN: 20240004
Software version: 3.0

millis,stampunix,datetime,RH,tempC,CH4smV, CH4rmV, VbatmV, K33_RH, K33_Temp, K33_CO2, SampleNumber, PumpCycle
3999, 1719413504, 2024/6/26 14:51:44, 58.11, 26.27, 219.56, 1920.19, 4101.56, 0.00, 0.00, 0.00, 1, 1
5999, 1719413506, 2024/6/26 14:51:46, 55.70, 26.27, 214.69, 1920.19, 4101.56, 0.00, 0.00, 0.00, 2, 1
7999, 1719413508, 2024/6/26 14:51:48, 54.23, 26.27, 206.44, 1920.00, 4101.56, 0.00, 0.00, 0.00, 3, 1
10000, 1719413510, 2024/6/26 14:51:50, 53.06, 26.28, 202.50, 1920.00, 4101.56, 0.00, 0.00, 0.00, 4, 1
11999, 1719413512, 2024/6/26 14:51:52, 52.42, 26.27, 201.56, 1920.00, 4101.56, 0.00, 0.00, 0.00, 5, 1
13999, 1719413514, 2024/6/26 14:51:54, 51.89, 26.26, 202.13, 1919.81, 4101.56, 0.00, 0.00, 0.00, 6, 1
15998, 1719413516, 2024/6/26 14:51:56, 51.38, 26.25, 203.44, 1919.81, 4101.56, 0.00, 0.00, 0.00, 7, 1
17999, 1719413518, 2024/6/26 14:51:58, 51.07, 26.27, 205.31, 1919.81, 4101.56, 0.00, 0.00, 0.00, 8, 1
19999, 1719413520, 2024/6/26 14:52:0, 50.81, 26.26, 207.19, 1920.00, 4101.56, 0.00, 0.00, 0.00, 9, 1
21999, 1719413522, 2024/6/26 14:52:2, 50.65, 26.24, 209.44, 1920.00, 4101.56, 0.00, 0.00, 0.00, 10, 1
23999, 1719413524, 2024/6/26 14:52:4, 50.58, 26.26, 211.50, 1920.00, 4101.56, 0.00, 0.00, 0.00, 11, 1
25999, 1719413526, 2024/6/26 14:52:6, 50.54, 26.25, 213.56, 1920.00, 4101.56, 0.00, 0.00, 0.00, 12, 1
27999, 1719413528, 2024/6/26 14:52:8, 50.34, 26.24, 215.81, 1920.19, 4101.56, 0.00, 0.00, 0.00, 13, 1
29998, 1719413530, 2024/6/26 14:52:10, 50.32, 26.23, 218.06, 1920.38, 4101.56, 0.00, 0.00, 0.00, 14, 1
32000, 1719413532, 2024/6/26 14:52:12, 50.23, 26.24, 220.31, 1920.38, 4101.56, 0.00, 0.00, 0.00, 15, 1
33998, 1719413534, 2024/6/26 14:52:14, 50.17, 26.22, 222.56, 1920.56, 4101.56, 0.00, 0.00, 0.00, 16, 1
35999, 1719413536, 2024/6/26 14:52:16, 50.13, 26.22, 224.81, 1920.75, 4101.56, 0.00, 0.00, 0.00, 17, 1
37998, 1719413538, 2024/6/26 14:52:18, 50.05, 26.24, 227.06, 1920.56, 4096.68, 0.00, 0.00, 0.00, 18, 1
40000, 1719413540, 2024/6/26 14:52:20, 49.99, 26.23, 229.13, 1920.75, 4096.68, 0.00, 0.00, 0.00, 19, 1
41999, 1719413542, 2024/6/26 14:52:22, 49.91, 26.23, 231.38, 1920.94, 4096.68, 0.00, 0.00, 0.00, 20, 1
43999, 1719413544, 2024/6/26 14:52:24, 49.84, 26.23, 233.63, 1921.31, 4096.68, 0.00, 0.00, 0.00, 21, 1
45999, 1719413546, 2024/6/26 14:52:26, 49.84, 26.22, 235.69, 1921.50, 4096.68, 0.00, 0.00, 0.00, 22, 1
48000, 1719413548, 2024/6/26 14:52:28, 49.83, 26.24, 237.75, 1921.88, 4096.68, 0.00, 0.00, 0.00, 23, 1
49999, 1719413550, 2024/6/26 14:52:30, 49.77, 26.22, 239.81, 1922.06, 4096.68, 0.00, 0.00, 0.00, 24, 1
