Sensor,Fan,ppm_hr,ppb_s_licor,ppb_hr_licor
3,On,29.07,3.5319,12.71484
3,On,12.46,0.277,0.9972
3,On,27.91,0.9472,3.40992
3,On,6.17,0.7927,2.85372
3,On,3.2,0.4044,1.45584
3,Off,31.96,2.468,8.8848
3,Off,12.3,0.3667,1.32012
3,Off,25.02,0.8192,2.94912
3,Off,6.43,0.7799,2.80764
3,Off,3.16,0.5336,1.92096
13,On,75.6,3.5319,12.71484
13,On,52.04,0.277,0.9972
13,On,79.84,0.9472,3.40992
13,On,33.06,0.7927,2.85372
13,On,16.71,0.4044,1.45584
13,Off,85.43,2.468,8.8848
13,Off,11.67,0.3667,1.32012
13,Off,35.42,0.8192,2.94912
13,Off,9.45,0.7799,2.80764
13,Off,6.74,0.5336,1.92096
