Sensor 13 NO FAN [ppm/hr],Sensor 13 NO FAN [umol/m^2/h],Sensor 13 NO FAN[g/ha/day],Sensor 03 NO FAN [ppm/hr],Sensor 03 NO FAN [umol/m^2/h],Sensor 03 NO FAN[g/ha/day],LICOR NO FAN [ppb/s],LICOR NO FAN[g/ha/day],Sensor 13 FAN [ppm/hr],Sensor 13 FAN [umol/m^2/h],Sensor 13 FAN[g/ha/day],Sensor 03 FAN [ppm/hr],Sensor 03 FAN [umol/m^2/h],Sensor 03 FAN[g/ha/day],LICOR FAN [ppb/s],LICOR FAN[g/ha/day],,LCMS NO FAN FLUX [g/ha/day],LCMS FAN FLUX [g/ha/day]
85.43,10511.26,40470.45325,31.96,3918.89,15088.51028,2.468,4276.5973,75.6,9336.76,35948.39335,29.07,3570.95,13748.87169,3.5319,6119.126,,40470.45325,35948.39335
11.67,1434.73,5523.997446,12.3,1510.65,5816.30463,0.3667,635.24044,52.04,6416.13,24703.38373,12.46,1530.43,5892.461586,0.277,479.9247,,5523.997446,24703.38373
35.42,4355.9,16771.08618,25.02,3070.55,11822.23161,0.8192,1419.3235,79.84,9830.25,37848.42855,27.91,3426.71,13193.51884,0.9472,1641.09975,,16771.08618,37848.42855
9.45,1160.24,4467.156048,6.43,789.53,3039.848406,0.7799,1351.2011,33.06,4072.11,15678.43792,6.17,757.1,2914.835,0.7927,1373.3342,,4467.156048,15678.43792
6.74,827.65,3186.61803,3.16,387.57,1492.222014,0.5336,928.1919,16.71,2065.72,7953.435144,3.2,393.01,1513.0885,0.4044,700.5605,,3186.61803,7953.435144
,,,,,,,,,,,,,,,,,15088.51028,13748.87169
,,,,,,,,,,,,,,,,,5816.30463,5892.461586
,,,,,,,,,,,,,,,,,11822.23161,13193.51884
,,,,,,,,,,,,,,,,,3039.848406,2914.98642
,,,,,,,,,,,,,,,,,1492.222014,1513.167102
